run,name,dataset,total,init,find_core_points,compute_cluster_cores,assign_border_points,remove_noise_points,create_clusters,r,eps
0,BoxGraph,e1 r0.025,0.1634122859977651,0.0166038329989532,0.0107530969980871,0.1207441840015235,0.0010892529971897,,,0.025,1
1,BoxGraph,e1 r0.025,0.1581381979995058,0.0179541339966817,0.0110255890031112,0.1153860530030215,0.0006627990005654,,,0.025,1
2,BoxGraph,e1 r0.025,0.1505392640028731,0.0151611760011292,0.0101187929976731,0.1117922039993573,0.0005853319962625,,,0.025,1
3,BoxGraph,e1 r0.025,0.1567441959996358,0.0166757539991522,0.0106315980010549,0.1157252599950879,0.0006639630009885,,,0.025,1
4,BoxGraph,e1 r0.025,0.1567838140035746,0.0171044560047448,0.0109703979978803,0.1150320489978184,0.0006813669970142,,,0.025,1
0,BoxGraph,e0.6 r0.1,0.1325605330057442,0.0181548390028183,0.0112819770001806,0.0885339379965444,0.0010580000016489,,,0.1,0.6
1,BoxGraph,e0.6 r0.1,0.1353603079987806,0.0187917030052631,0.011694428998453,0.0907615219985018,0.0010066590039059,,,0.1,0.6
2,BoxGraph,e0.6 r0.1,0.1370627259966568,0.0230528130050515,0.0117126000041025,0.0881948429960175,0.001009334999253,,,0.1,0.6
3,BoxGraph,e0.6 r0.1,0.1330620819935575,0.0187597159965662,0.0113867879990721,0.088627571996767,0.0009732879989314,,,0.1,0.6
4,BoxGraph,e0.6 r0.1,0.132994564002729,0.0183999500004574,0.011105771001894,0.0892396679992089,0.0009820609993766,,,0.1,0.6
0,BoxGraph,e0.2 r0.1,0.0981760439972276,0.0259864330000709,0.0323490540031343,0.0233010509982705,0.0025889949974953,,,0.1,0.2
1,BoxGraph,e0.2 r0.1,0.099885137999081,0.0265991349951946,0.0332166790030896,0.0233938800010946,0.002378930003033,,,0.1,0.2
2,BoxGraph,e0.2 r0.1,0.1000058349964092,0.0269586310023441,0.0329385969962459,0.0236143840011209,0.0024263899977086,,,0.1,0.2
3,BoxGraph,e0.2 r0.1,0.113647216996469,0.0387155749995145,0.0334437830024398,0.0241468820022419,0.0027064719979534,,,0.1,0.2
4,BoxGraph,e0.2 r0.1,0.0987781589938094,0.0264617360007832,0.0332127479996415,0.0230179420032072,0.0024734789985814,,,0.1,0.2
0,BoxGraph,e0.8 r0.025,0.1331910360022448,0.0164404349998221,0.0107154670040472,0.0910858959978213,0.0009037459967657,,,0.025,0.8
1,BoxGraph,e0.8 r0.025,0.1368458759970963,0.0181063030031509,0.0108552099991356,0.0929126140035805,0.0008424320039921,,,0.025,0.8
2,BoxGraph,e0.8 r0.025,0.1321866369980853,0.0171563000039896,0.0104961820034077,0.0901226600035443,0.0008341210050275,,,0.025,0.8
3,BoxGraph,e0.8 r0.025,0.1309010139957536,0.0168928419952862,0.0106041100007132,0.089264105001348,0.0007825940047041,,,0.025,0.8
4,BoxGraph,e0.8 r0.025,0.1312056550013949,0.0165342339969356,0.0102945760008879,0.0900095670003793,0.0008368089984287,,,0.025,0.8
0,BoxGraph,e0.4 r0.025,0.1211506979961996,0.0209396330028539,0.0152937990060308,0.0698618670066935,0.0012697450001724,,,0.025,0.4
1,BoxGraph,e0.4 r0.025,0.1268079170040437,0.0303025370012619,0.0154710200004046,0.0664720589993521,0.001217805998749,,,0.025,0.4
2,BoxGraph,e0.4 r0.025,0.118411607996677,0.0198857269933796,0.0155022179969819,0.0681288639971171,0.0011713990024873,,,0.025,0.4
3,BoxGraph,e0.4 r0.025,0.1183117589971516,0.0207887300057336,0.0153726529970299,0.0677158039979985,0.0012114909986848,,,0.025,0.4
4,BoxGraph,e0.4 r0.025,0.1205093880053027,0.0216161900025326,0.0159813499994925,0.0680437619957956,0.0012403989967424,,,0.025,0.4
0,BoxGraph,e1 r0.1,0.1326741150041925,0.017208990000654,0.0098917360010091,0.0910494400013703,0.0009897269992507,,,0.1,1
1,BoxGraph,e1 r0.1,0.1323613220010884,0.0169374940014677,0.0099677780017373,0.091132950001338,0.000987437000731,,,0.1,1
2,BoxGraph,e1 r0.1,0.1325058670045109,0.0171038439948461,0.0099555729975691,0.091054211006849,0.0010247500031255,,,0.1,1
3,BoxGraph,e1 r0.1,0.1324897599988617,0.0172052850030013,0.0099682709987973,0.0908870200000819,0.0010046239985967,,,0.1,1
4,BoxGraph,e1 r0.1,0.1315192760011996,0.0168539939986658,0.0098947360020247,0.0903963059972738,0.0009362690034322,,,0.1,1
0,BoxGraph,e1.5 r0.025,0.1112672630042652,0.0179294080007821,0.0078799420007271,0.0715984769994975,0.0005130720019224,,,0.025,1.5
1,BoxGraph,e1.5 r0.025,0.1059675979995518,0.0143172099997173,0.0078408510016743,0.070089831999212,0.0005844309998792,,,0.025,1.5
2,BoxGraph,e1.5 r0.025,0.1073860830001649,0.0139698480052175,0.0079619500029366,0.0716100499994354,0.0006375790035235,,,0.025,1.5
3,BoxGraph,e1.5 r0.025,0.1074514540014206,0.0147361160052241,0.0081561100014369,0.0703744249985902,0.0007273340015672,,,0.025,1.5
4,BoxGraph,e1.5 r0.025,0.1063607239993871,0.0143346900003962,0.0083790790013154,0.0699387030035723,0.0005735930026276,,,0.025,1.5
0,BoxGraph,e2 r0.025,0.0797225310016074,0.0140665100043406,0.0128453500001342,0.0389121269981842,0.000609112001257,,,0.025,2
1,BoxGraph,e2 r0.025,0.0802104099930147,0.0142202539936988,0.0128655890002846,0.0391687820010702,0.0006005890027154,,,0.025,2
2,BoxGraph,e2 r0.025,0.0809259509987896,0.0142634919975535,0.0130522920007933,0.0395875620015431,0.0005665860007866,,,0.025,2
3,BoxGraph,e2 r0.025,0.0802473580042715,0.0141251380046014,0.0133116759971017,0.0389710279996506,0.0005566920008277,,,0.025,2
4,BoxGraph,e2 r0.025,0.0803705469952547,0.0140398960065795,0.0127312869954039,0.0391391619996284,0.0005622039971058,,,0.025,2
0,BoxGraph,e0.8 r0.1,0.1369093649991555,0.0199535220017423,0.0098188339979969,0.0925145759974839,0.0011385600009816,,,0.1,0.8
1,BoxGraph,e0.8 r0.1,0.1325236789998598,0.0159513680046075,0.0097153280003112,0.0921471359979477,0.0010845439974218,,,0.1,0.8
2,BoxGraph,e0.8 r0.1,0.1330100539998966,0.0173277499998221,0.009338616997411,0.0918210210002143,0.001190866001707,,,0.1,0.8
3,BoxGraph,e0.8 r0.1,0.1319878530048299,0.0173695570047129,0.0095616539983893,0.0905925670012948,0.0011056469957111,,,0.1,0.8
4,BoxGraph,e0.8 r0.1,0.134041919001902,0.0175104439986171,0.0095905320049496,0.0923925430033705,0.0011469879973446,,,0.1,0.8
0,BoxGraph,e0.2 r0.4,0.0756616840008064,0.0267176970010041,0.0201515040025697,0.0119592760020168,0.0028436310021788,,,0.4,0.2
1,BoxGraph,e0.2 r0.4,0.0911548529984429,0.0404010729980655,0.0212678329990012,0.0122720819999813,0.0029387809991021,,,0.4,0.2
2,BoxGraph,e0.2 r0.4,0.0774968099940451,0.0280281840023235,0.0204815739998593,0.0120839649971458,0.0029042189999017,,,0.4,0.2
3,BoxGraph,e0.2 r0.4,0.0788301729990053,0.0287018029994214,0.0206038040050771,0.0122989390001748,0.0030584429987357,,,0.4,0.2
4,BoxGraph,e0.2 r0.4,0.0781232959998305,0.0282066939980722,0.0206690210034139,0.0123632570030167,0.0028788440031348,,,0.4,0.2
0,BoxGraph,e2 r0.4,0.11063423500309,0.0152640089945634,0.0045079759947839,0.0774170660006348,0.000291850999929,,,0.4,2
1,BoxGraph,e2 r0.4,0.1116907549949246,0.0160663179995026,0.0045145010008127,0.0775635370009695,0.000306112000544,,,0.4,2
2,BoxGraph,e2 r0.4,0.1125824510017992,0.0164109859979362,0.0045970560022396,0.077944889999344,0.000289846000669,,,0.4,2
3,BoxGraph,e2 r0.4,0.126079697998648,0.030792591998761,0.0043133849976584,0.0776238670005113,0.0002607150017865,,,0.4,2
4,BoxGraph,e2 r0.4,0.1090132889949018,0.0142493009989266,0.0043732490012189,0.0773433330032276,0.000253573001828,,,0.4,2
0,BoxGraph,e2 r0.1,0.0977545070054475,0.0143501190032111,0.0163085759995738,0.0539737250001053,0.0002765559984254,,,0.1,2
1,BoxGraph,e2 r0.1,0.0981794020044617,0.014291253995907,0.0167722690021037,0.0540631530020618,0.0002938039979198,,,0.1,2
2,BoxGraph,e2 r0.1,0.097406166998553,0.0143049750040518,0.0166580180011806,0.0533573540014913,0.0002687339947442,,,0.1,2
3,BoxGraph,e2 r0.1,0.0980173599964473,0.0142469300044467,0.0165500520015484,0.0541054179993807,0.0002901359985116,,,0.1,2
4,BoxGraph,e2 r0.1,0.0970848169963574,0.0141783759972895,0.0162653969964594,0.0535817650015815,0.0002731829954427,,,0.1,2
0,BoxGraph,e0.6 r0.025,0.1354648230044404,0.0171090910007478,0.010783096004161,0.0936370869967504,0.0008561069989809,,,0.025,0.6
1,BoxGraph,e0.6 r0.025,0.1371081239994964,0.0172947399987606,0.0111079009948298,0.0942117469967342,0.0009211829965352,,,0.025,0.6
2,BoxGraph,e0.6 r0.025,0.1398228779944474,0.0223610139946686,0.0112857260028249,0.0921848220023093,0.0008309520053444,,,0.025,0.6
3,BoxGraph,e0.6 r0.025,0.1336083080022945,0.0177521519945003,0.011030818997824,0.0909066349995555,0.000801409005362,,,0.025,0.6
4,BoxGraph,e0.6 r0.025,0.135557510999206,0.016496371004905,0.0108653630013577,0.0940320869995048,0.0008351770011358,,,0.025,0.6
0,BoxGraph,e1.5 r0.1,0.1148978480050573,0.0157591680035693,0.0172260730032576,0.0676694319990929,0.0007038549956632,,,0.1,1.5
1,BoxGraph,e1.5 r0.1,0.1155693350010551,0.0157821759930811,0.0180635090000578,0.0680043760003172,0.0006639659986831,,,0.1,1.5
2,BoxGraph,e1.5 r0.1,0.1144095830022706,0.0150692989991512,0.0170036900017294,0.0673987960035447,0.000702839999576,,,0.1,1.5
3,BoxGraph,e1.5 r0.1,0.1141624800002318,0.0149224639972089,0.0168713730017771,0.0682101550046354,0.0007308210042538,,,0.1,1.5
4,BoxGraph,e1.5 r0.1,0.112859988999844,0.0154329779979889,0.0167902480025077,0.067030338999757,0.0006870270008221,,,0.1,1.5
0,BoxGraph,e0.4 r0.4,0.0992566990025807,0.0291246179986046,0.0205228720005834,0.0334038880027947,0.0027039519991376,,,0.4,0.4
1,BoxGraph,e0.4 r0.4,0.0953536169981816,0.0238813760006451,0.0207606300027691,0.0343218960042577,0.0027484450038173,,,0.4,0.4
2,BoxGraph,e0.4 r0.4,0.0940375129939639,0.023725334998744,0.0203192260014475,0.0338680459972238,0.0027314390026731,,,0.4,0.4
3,BoxGraph,e0.4 r0.4,0.0958569020003778,0.0251838379990658,0.0204591459987568,0.0338624529977096,0.0027135150012327,,,0.4,0.4
4,BoxGraph,e0.4 r0.4,0.0964539580018026,0.025331090997497,0.0205449830027646,0.0341118520009331,0.0027472079964354,,,0.4,0.4
0,BoxGraph,e0.4 r0.1,0.1189077419985551,0.0226183190025039,0.0174864279979374,0.0637595570005942,0.0014066840012674,,,0.1,0.4
1,BoxGraph,e0.4 r0.1,0.1183418059954419,0.0216301839973311,0.0173028239951236,0.0643239880009787,0.0014613020030083,,,0.1,0.4
2,BoxGraph,e0.4 r0.1,0.1311430630012182,0.0344278319971635,0.0175570540013723,0.0644536830004653,0.0012852989966631,,,0.1,0.4
3,BoxGraph,e0.4 r0.1,0.1192133129952708,0.0211248240011627,0.0177108150019194,0.0649722750022192,0.0013913619986851,,,0.1,0.4
4,BoxGraph,e0.4 r0.1,0.1211860140028875,0.023176255999715,0.0176992829947266,0.0650732509966474,0.0013544770044973,,,0.1,0.4
0,BoxGraph,e0.8 r0.4,0.119633235000947,0.0207876499989652,0.0209525309983291,0.0632380420065601,0.001151889002358,,,0.4,0.8
1,BoxGraph,e0.8 r0.4,0.1202305140031967,0.021976103002089,0.0203014779981458,0.0632720470021013,0.0012028549972455,,,0.4,0.8
2,BoxGraph,e0.8 r0.4,0.116393609001534,0.0190798199982964,0.0201661769970087,0.0630597240015049,0.0010383180051576,,,0.4,0.8
3,BoxGraph,e0.8 r0.4,0.1171721139980945,0.0206039139957283,0.0201778049959102,0.0624583269964205,0.000976178998826,,,0.4,0.8
4,BoxGraph,e0.8 r0.4,0.1285402220019023,0.0301638660021126,0.0200071110011776,0.0643688349955482,0.0010387260044808,,,0.4,0.8
0,BoxGraph,e1.5 r0.4,0.1275166720006382,0.016418531005911,0.0142867020040284,0.0835191529986332,0.0002740319978329,,,0.4,1.5
1,BoxGraph,e1.5 r0.4,0.1313390260038431,0.0178620660008164,0.0150734869966981,0.0852696250003646,0.0002785390024655,,,0.4,1.5
2,BoxGraph,e1.5 r0.4,0.1310647860009339,0.0165977939977892,0.0146753239969257,0.0865229100018041,0.0002857279978343,,,0.4,1.5
3,BoxGraph,e1.5 r0.4,0.1302442330052144,0.016827732004458,0.0152358969935448,0.0848103289972641,0.0003096950022154,,,0.4,1.5
4,BoxGraph,e1.5 r0.4,0.1268567500010249,0.0164931630060891,0.0144666390042402,0.082714345997374,0.0002826030031428,,,0.4,1.5
0,BoxGraph,e1 r0.4,0.1231374280032469,0.0185676740002236,0.0200198430029558,0.0709549899984267,0.0004739720025099,,,0.4,1
1,BoxGraph,e1 r0.4,0.1217608079969068,0.0173392849974334,0.019832234000205,0.0712949750013649,0.0004948019995936,,,0.4,1
2,BoxGraph,e1 r0.4,0.1238469849995453,0.0183134890030487,0.0201087200039182,0.0714604040040285,0.0006797469977755,,,0.4,1
3,BoxGraph,e1 r0.4,0.1270469630035222,0.0220465540041914,0.0201299030013615,0.071039190996089,0.0007979579968377,,,0.4,1
4,BoxGraph,e1 r0.4,0.1243635700011509,0.017231003002962,0.0203935120007372,0.073377447995881,0.000528270000359,,,0.4,1
0,BoxGraph,e0.2 r0.025,0.1028410460057784,0.0253318309987662,0.0339250659962999,0.027199764001125,0.0023449240034096,,,0.025,0.2
1,BoxGraph,e0.2 r0.025,0.1014091389952227,0.0260260729992296,0.0331675470006302,0.0263840469997376,0.0022773249947931,,,0.025,0.2
2,BoxGraph,e0.2 r0.025,0.1022140799977933,0.0265566770031,0.0328880640008719,0.0265888139983871,0.0023898509971331,,,0.025,0.2
3,BoxGraph,e0.2 r0.025,0.1039809310022974,0.0277369059986085,0.0333109499988495,0.0265057849974255,0.0024364230048377,,,0.025,0.2
4,BoxGraph,e0.2 r0.025,0.1133917850020225,0.0372295809938805,0.0336995429970556,0.0266341300011845,0.0022826120039098,,,0.025,0.2
0,BoxGraph,e0.6 r0.4,0.1179647149983793,0.022635581997747,0.0188608129974454,0.0593971670023165,0.0025478780007688,,,0.4,0.6
1,BoxGraph,e0.6 r0.4,0.1158755910000763,0.0218033500059391,0.0189261630002874,0.0590737309976248,0.0022759139974368,,,0.4,0.6
2,BoxGraph,e0.6 r0.4,0.1172743249990162,0.0232769630019902,0.018998929997906,0.0592533399976673,0.0023975799995241,,,0.4,0.6
3,BoxGraph,e0.6 r0.4,0.1161477229979937,0.0218397060016286,0.0188609329998143,0.0593049070012057,0.0023939859966048,,,0.4,0.6
4,BoxGraph,e0.6 r0.4,0.1193665230020997,0.0253524630024912,0.0191691269938019,0.0587574040036997,0.0023535920045105,,,0.4,0.6
0,QuadTree,e1 r0.025,11.16696492600022,0.0784438880000379,10.905866293003784,,,0.0010826970028574,0.1594993629987584,0.025,1
1,QuadTree,e1 r0.025,11.151524986002189,0.0631144649960333,10.90866163699684,,,0.0010835760040208,0.1575868170039029,0.025,1
2,QuadTree,e1 r0.025,11.101539142997352,0.0593766079982742,10.849653039003895,,,0.0010730010035331,0.1568121699965559,0.025,1
3,QuadTree,e1 r0.025,11.185626318001596,0.0784270759977516,10.927222131002054,,,0.0011679320014081,0.1570874669996556,0.025,1
4,QuadTree,e1 r0.025,11.19134495199978,0.0646854639999219,10.945731571002398,,,0.0012716709970845,0.1577920930067193,0.025,1
0,QuadTree,e0.6 r0.1,6.87662704000104,0.0900178049996611,6.593914083001437,,,0.0039670930054853,0.1669676989986328,0.1,0.6
1,QuadTree,e0.6 r0.1,6.833646959006728,0.0646095949996379,6.576603263994912,,,0.0037083479983266,0.1669868210010463,0.1,0.6
2,QuadTree,e0.6 r0.1,6.8505375439999625,0.0877787270001135,6.571071575002861,,,0.0039212570045492,0.1661387250060215,0.1,0.6
3,QuadTree,e0.6 r0.1,6.802284322999185,0.0628206039982615,6.549021006998373,,,0.0037518059980357,0.1653208779971464,0.1,0.6
4,QuadTree,e0.6 r0.1,6.734797006000008,0.0605395390011835,6.466690501998528,,,0.0035704289985005,0.1654198530013673,0.1,0.6
0,QuadTree,e0.2 r0.1,2.6888440569964587,0.0754628959984984,2.4100424479984213,,,0.0110176949965534,0.1709074210011749,0.1,0.2
1,QuadTree,e0.2 r0.1,2.678687487001298,0.0638413900014711,2.410246425999503,,,0.0117393489999813,0.1711477229982847,0.1,0.2
2,QuadTree,e0.2 r0.1,2.6911603850021493,0.0870692879980197,2.396912994001468,,,0.0117413260013563,0.1735632089985301,0.1,0.2
3,QuadTree,e0.2 r0.1,2.655396928996197,0.0629463139994186,2.386979514005361,,,0.0112697180011309,0.1713054799984092,0.1,0.2
4,QuadTree,e0.2 r0.1,2.683751939999638,0.0849714830037555,2.3951092610004707,,,0.010981397004798,0.1708606040047016,0.1,0.2
